City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Thanjavur,Thanjavur,35,35,0.3682048,0.3796788,0.4721452,0.4531268,0.4215877,0.3927206,0.4076046,1.6017469,0.4884492,0.5130128,0.1227349,0.1265596,0.1573817,0.1510423,0.1405292,0.1309069,0.1358682,0.5339156,0.1628164,0.1710043
Thanjavur,Thanjavur,36,36,0.1756544,0.157385,0.1741973,0.1713874,0.1479226,0.2041285,0.1990334,0.2725018,0.2208401,0.2350758,0.0585515,0.0524617,0.0580658,0.0571291,0.0493075,0.0680428,0.0663445,0.0908339,0.0736134,0.0783586
Thanjavur,Thanjavur,37,37,0.145071,0.1400054,0.1495363,0.1555525,0.1483054,0.1525253,0.1548161,0.1806379,0.1687508,0.1747264,0.048357,0.0466685,0.0498454,0.0518508,0.0494351,0.0508418,0.0516054,0.0602126,0.0562503,0.0582421
Thanjavur,Thanjavur,38,38,0.1006823,0.1070842,0.1071535,0.1150306,0.1140838,0.1167323,0.1227746,0.1991558,0.1366866,0.1457984,0.0335608,0.0356947,0.0357178,0.0383435,0.0380279,0.0389108,0.0409249,0.0663853,0.0455622,0.0485995
Thanjavur,Thanjavur,39,39,0.2285086,0.2429274,0.2299124,0.2854741,0.2556464,0.260071,0.2698653,0.4164921,0.3152272,0.3316016,0.0761695,0.0809758,0.0766375,0.095158,0.0852155,0.0866903,0.0899551,0.1388307,0.1050757,0.1105339
Thanjavur,Thanjavur,40,40,0.1862469,0.2589368,0.2043793,0.2120837,0.208835,0.1994868,0.271643,0.2511233,0.230966,0.2496235,0.0620823,0.0863123,0.0681264,0.0706946,0.0696117,0.0664956,0.0905477,0.0837078,0.0769887,0.0832078
Thanjavur,Thanjavur,41,41,0.1353721,0.1372561,0.1439192,0.1425695,0.1395216,0.1569119,0.1607399,0.1694348,0.175333,0.1992719,0.045124,0.045752,0.0479731,0.0475232,0.0465072,0.052304,0.05358,0.0564783,0.0584443,0.066424
Thanjavur,Thanjavur,42,42,0.1981282,0.1978193,0.2083487,0.2222739,0.2185764,0.2130015,0.2106773,0.2546183,0.2461823,0.2666449,0.0660427,0.0659398,0.0694496,0.0740913,0.0728588,0.0710005,0.0702258,0.0848728,0.0820608,0.0888816
Thanjavur,Thanjavur,43,43,0.0199811,0.0185784,0.0190506,0.020821,0.0556636,0.0276029,0.0261719,0.0716906,0.0288257,0.0772295,0.0066604,0.0061928,0.0063502,0.0069403,0.0185545,0.009201,0.008724,0.0238969,0.0096086,0.0257432
Thanjavur,Thanjavur,44,44,0.1443977,0.152036,0.1577555,0.1712633,0.1589432,0.1573682,0.1678684,0.1897167,0.1967699,0.2101076,0.0481326,0.0506787,0.0525852,0.0570878,0.0529811,0.0524561,0.0559561,0.0632389,0.06559,0.0700359
Thanjavur,Thanjavur,45,45,0.0548895,0.0504109,0.0533308,0.0550925,0.050956,0.0592064,0.0552037,0.0602749,0.0619577,0.0673205,0.0182965,0.0168036,0.0177769,0.0183642,0.0169853,0.0197355,0.0184012,0.0200916,0.0206526,0.0224402
Thanjavur,Thanjavur,46,46,0.0786485,0.0764459,0.0778791,0.0911982,0.0836104,0.0946448,0.0912987,0.1019536,0.1116079,0.1215659,0.0262162,0.025482,0.0259597,0.0303994,0.0278701,0.0315483,0.0304329,0.0339845,0.0372026,0.040522
Thanjavur,Thanjavur,47,47,0.0117053,0.0130211,0.0140292,0.0148648,0.0127225,0.0125429,0.0141492,0.0157446,0.0162704,0.0168455,0.0039018,0.0043404,0.0046764,0.0049549,0.0042408,0.004181,0.0047164,0.0052482,0.0054235,0.0056152
Thanjavur,Thanjavur,48,48,0.0172143,0.0166383,0.0152834,0.019189,0.0171948,0.0182134,0.0184662,0.0206799,0.0244083,0.0263553,0.0057381,0.0055461,0.0050945,0.0063963,0.0057316,0.0060711,0.0061554,0.0068933,0.0081361,0.0087851
Thanjavur,Thanjavur,49,49,0.0389197,0.0381515,0.0366915,0.0540773,0.0388533,0.0396766,0.0399548,0.0548703,0.0603305,0.0531864,0.0129732,0.0127172,0.0122305,0.0180258,0.0129511,0.0132255,0.0133183,0.0182901,0.0201102,0.0177288
Thanjavur,Thanjavur,50,50,0.1289252,0.1455683,0.1463861,0.1638088,0.1459972,0.1491485,0.1649501,0.1701989,0.1851988,0.1857986,0.0429751,0.0485228,0.0487954,0.0546029,0.0486657,0.0497162,0.0549834,0.056733,0.0617329,0.0619329
Thanjavur,Thanjavur,51,51,0.1981521,0.2021653,0.2216806,0.2437752,0.2439524,0.2033843,0.2096628,0.2533733,0.2548875,0.2764182,0.0660507,0.0673884,0.0738935,0.0812584,0.0813175,0.0677948,0.0698876,0.0844578,0.0849625,0.0921394
