City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,11,NA,54,3227538,3556799,4073747,4749557.92,4570035,3603387,3692977,4165062,4356707,4563547,74544,117469,94496,120279,146361,74299,75687,81811,92032,123421,1095973.73,1010889,1306194,1253536,1497869,1060312,1039039,1207263,1348667,1492220
Jabalpur,11,NA,65,9432219.85,9284365.46,8889301.48,10856252.54,11286224.74,9267476,9217655,9265265,9006946,10455590,461609,475500,290708,523865,539453,365606,357968,367568,436354,471982,2878151.74,4193744,4007518,7950882,4830369,3634363,3875469,3893114,4433728,4938354
Jabalpur,11,NA,66,3923167,4187967,5014603,5437296.15,6995891.24,4003876,3950734,4431630,4668973,5069758,6302,26663,33523,13580,41273,19333,25485,25773,31412,34539,617424,591555,730733,628541,898512,594399,588177,630479,787569,879015
Jabalpur,11,NA,67,1957354,4345464.35,5416304,8940952.92,10235882.91,3009756,2847183,9202979,9646475,10680607,26431,39436,100584,98734,111043,39257,31569,81862,94993,121869,1009615,1078316,2573077,4962323,5940914,902477,958321,3521052,5236332,5987216
Jabalpur,11,NA,79,250540,376337,858966,1574629,1583916.64,287393,276006,1998401,2494820,2576508,0,8270,0,39190,20274,653,2735,19039,19003,20280,37072,52445,57570,61119,125346,30695,30994,390981,383866,306904
Jabalpur,12,NA,23,2092140,1974696,2072270,2681312,3287682,2013537,1980480,1952983,2100134,2276488,610606,605708,478811,610224,576747,487685,471615,478497,493458,554279,3308701,2872352,3472300.81,3977732,3560651,2941787,3123711,3272345,3716779,4274690
Jabalpur,12,NA,52,2381584,2659122,2419482,2104794,2153306,2106167,2110435,2118298,2022468,2150555,111267,97202,82615,76913,102656,87725,83790,90906,92559,96950,1303093,1265896,1274820,1414167,1557985,1286804,1364084,1387411,1461491,1744121
Jabalpur,12,NA,53,3448162,3013810,2787375,2153621,2532935,2449805,2495404,2770069,2794517,3017100,80297,90779,51586,51631,56932,82118,95244,97106,97059,101681,968736,929589,885041,951264,948351,847328,854095,905649,960548,1054020
Jabalpur,13,NA,32,8725506.31,9045942.94,9057112.75,10238702.37,8879637.11,7783943,7890821,8021732,7954881,8474342,1571680,1455122.55,1699294,1548376.76,1276036.42,1132654,1199457,1207956,1226691,1290009,12265861.04,12184715.26,12415899.41,14853595.93,15308949.55,10956812,12355096,12984545,14612236,15868788
Jabalpur,13,NA,33,11992316.26,10620353.84,12030102.53,10818371.26,12075890.57,9619207,9655243,10188977,10124342,11034961,2036360.2,1981380,2307540.37,2501035.03,2092866.94,1837528,1909707,1943594,1932882,2107994,17422082.34,19500485.33,18211876.19,17902830.46,21526267.6,14467952,17014056,18002877,19322637,21378033
