City_Name,Zone_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Jabalpur,11,67,0.2,0.43,0.54,0.89,1.02,0.3,0.28,0.92,0.96,1.07,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Jabalpur,11,79,0.03,0.04,0.09,0.16,0.16,0.03,0.03,0.2,0.25,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,12,23,0.21,0.2,0.21,0.27,0.33,0.2,0.2,0.2,0.21,0.23,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.06
Jabalpur,12,52,0.24,0.27,0.24,0.21,0.22,0.21,0.21,0.21,0.2,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,12,53,0.34,0.3,0.28,0.22,0.25,0.24,0.25,0.28,0.28,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Jabalpur,13,32,0.87,0.9,0.91,1.02,0.89,0.78,0.79,0.8,0.8,0.85,0.16,0.15,0.17,0.15,0.13,0.11,0.12,0.12,0.12,0.13
Jabalpur,13,33,1.2,1.06,1.2,1.08,1.21,0.96,0.97,1.02,1.01,1.1,0.2,0.2,0.23,0.25,0.21,0.18,0.19,0.19,0.19,0.21
Jabalpur,13,34,0.62,0.58,0.55,0.57,0.55,0.51,0.49,0.49,0.5,0.54,0.3,0.25,0.23,0.28,0.31,0.22,0.22,0.23,0.24,0.25
Jabalpur,14,27,0.5,0.52,0.61,0.72,0.68,0.54,0.56,0.57,0.57,0.6,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03
Jabalpur,14,28,0.56,0.57,0.62,0.8,0.8,0.62,0.62,0.64,0.67,0.71,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Jabalpur,14,35,0.83,1.2,1.08,1.27,1.2,0.96,0.98,1.02,1.04,1.12,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02
Jabalpur,14,38,0.19,0.2,0.28,0.27,0.23,0.2,0.21,0.19,0.21,0.23,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Jabalpur,14,39,0.22,0.27,0.34,0.42,0.36,0.23,0.25,0.27,0.28,0.31,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Jabalpur,14,40,0.08,0.09,0.12,0.14,0.12,0.08,0.08,0.09,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Jabalpur,15,72,0.0,0.0,0.33,0.8,1.12,0.01,0.01,0.88,0.91,1.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.02,0.02
Jabalpur,15,73,0.0,0.0,0.32,0.74,0.84,0.0,0.0,0.81,0.8,0.89,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Jabalpur,15,74,0.0,0.0,0.21,0.49,0.57,0.0,0.0,0.6,0.55,0.6,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Jabalpur,15,75,0.0,0.0,0.17,0.56,0.81,0.0,0.0,0.72,0.69,0.76,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.03,0.02,0.03
Jabalpur,15,76,0.0,0.0,0.06,0.23,0.35,0.0,0.0,0.35,0.32,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabalpur,15,77,0.0,0.0,0.32,0.64,0.68,0.0,0.0,0.69,0.68,0.75,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.02,0.01,0.02
Jabalpur,15,78,0.0,0.0,0.14,0.34,0.37,0.0,0.0,0.38,0.36,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
