City Name,Zone Name,Ward Name,Ward No.,2013-14 - Property Tax Collection (in crores) - Residential,2014-15 - Property Tax Collection (in crores) - Residential,2015-16 - Property Tax Collection (in crores) - Residential,2016-17 - Property Tax Collection (in crores) - Residential,2017-18 - Property Tax Collection (in crores) - Residential,2013-14 - Property Tax Demand (in crores) - Residential,2014-15 - Property Tax Demand (in crores) - Residential,2015-16 - Property Tax Demand (in crores) - Residential,2016-17 - Property Tax Demand (in crores) - Residential,2017-18 - Property Tax Demand (in crores) - Residential,2013-14 - Property Tax Collection (in crores) - Commercial,2014-15 - Property Tax Collection (in crores) - Commercial,2015-16 - Property Tax Collection (in crores) - Commercial,2016-17 - Property Tax Collection (in crores) - Commercial,2017-18 - Property Tax Collection (in crores) - Commercial,2013-14 - Property Tax Demand (in crores) - Commercial,2014-15 - Property Tax Demand (in crores) - Commercial,2015-16 - Property Tax Demand (in crores) - Commercial,2016-17 - Property Tax Demand (in crores) - Commercial,2017-18 - Property Tax Demand (in crores) - Commercial
Jabalpur,11,NA,43,1464455,1867465,1531143.89,1501965,1894950.73,1309804,1262338,1401402,1339062,1398061,196865,317424,326805,203737,217566,161506,172036,182045,197715,231121
Jabalpur,11,NA,54,3227538,3556799,4073747,4749557.92,4570035,3603387,3692977,4165062,4356707,4563547,74544,117469,94496,120279,146361,74299,75687,81811,92032,123421
Jabalpur,11,NA,65,9432219.85,9284365.46,8889301.48,10856252.54,11286224.74,9267476,9217655,9265265,9006946,10455590,461609,475500,290708,523865,539453,365606,357968,367568,436354,471982
Jabalpur,11,NA,66,3923167,4187967,5014603,5437296.15,6995891.24,4003876,3950734,4431630,4668973,5069758,6302,26663,33523,13580,41273,19333,25485,25773,31412,34539
Jabalpur,11,NA,67,1957354,4345464.35,5416304,8940952.92,10235882.91,3009756,2847183,9202979,9646475,10680607,26431,39436,100584,98734,111043,39257,31569,81862,94993,121869
Jabalpur,11,NA,79,250540,376337,858966,1574629,1583916.64,287393,276006,1998401,2494820,2576508,0,8270,0,39190,20274,653,2735,19039,19003,20280
Jabalpur,12,NA,23,2092140,1974696,2072270,2681312,3287682,2013537,1980480,1952983,2100134,2276488,610606,605708,478811,610224,576747,487685,471615,478497,493458,554279
Jabalpur,12,NA,52,2381584,2659122,2419482,2104794,2153306,2106167,2110435,2118298,2022468,2150555,111267,97202,82615,76913,102656,87725,83790,90906,92559,96950
Jabalpur,12,NA,53,3448162,3013810,2787375,2153621,2532935,2449805,2495404,2770069,2794517,3017100,80297,90779,51586,51631,56932,82118,95244,97106,97059,101681
Jabalpur,13,NA,32,8725506.31,9045942.94,9057112.75,10238702.37,8879637.11,7783943,7890821,8021732,7954881,8474342,1571680,1455122.55,1699294,1548376.76,1276036.42,1132654,1199457,1207956,1226691,1290009
